registrar,id,accredited,unverified_free_features,free_features,unverified_payment_methods,payment_methods,tlds,rating,,cheapest_registration,cheapest_renewal,cheapest_transfer,best_3_year_value
Blacknight,,TRUE,DNS,DNS,"Credit Card,Check,Paypal","Credit card, wire transfer, paypal, cheque",601                     :,2.3 out of 5 stars,,8                     :1%,22                     :4%,8                     :1%,0                     :0%
Regtons,,TRUE,"DNS,WHOIS Privacy","DNS, WHOIS privacy","Bank Transfer,Credit Card","Credit card, wire transfer",1116                     :,2.6 out of 5 stars,,51                     :5%,77                     :7%,50                     :4%,6                     :1%
101domain,1011,TRUE,DNS,DNS,"Credit Card,Paypal","Credit card, paypal",1815                     :,2.1 out of 5 stars,,168                     :9%,161                     :9%,198                     :11%,147                     :8%
Alibaba Cloud Beijing,420,TRUE,"DNS,WHOIS Privacy, redacted per GDPR",DNS,"Credit Card,Paypal","Credit card, paypal, paytm",118                     :,2.3 out of 5 stars,,2                     :2%,6                     :5%,4                     :3%,0                     :0%
Alibaba Cloud HiChina,1599,TRUE,"DNS,WHOIS Privacy, redacted per GDPR",DNS,"Credit Card,Paypal","Credit card, paypal, paytm",118                     :,2.3 out of 5 stars,,2                     :2%,6                     :5%,4                     :3%,0                     :0%
DreamHost,431,TRUE,"DNS,WHOIS Privacy","DNS, WHOIS privacy",Credit Card,"Credit card, Paypal, checks, money order",391                     :,2.3 out of 5 stars,,0                     :0%,22                     :6%,8                     :2%,0                     :0%
MrDomain,,TRUE,"DNS,WHOIS Privacy","DNS, URL forwarding, WHOIS privacy","Credit Card,Paypal","Credit card, paypal, bizum, wire transfer",858                     :,2.3 out of 5 stars,,9                     :1%,9                     :1%,11                     :1%,1                     :0%
EuroDNS,1052,TRUE,"DNS,1 Email Accounts,Email Forwarding,SSL Certificate","DNS, SSL Certificate, 1 Email account, email forwarding, WHOIS Privacy","Credit Card,Paypal","Credit card, paypal, wire transfer",898                     :,2.5 out of 5 stars,,8                     :1%,5                     :1%,10                     :1%,60                     :7%
Hello.co,1924,TRUE,"DNS,50 Email Accounts, 1 year","DNS, SSL Certificate, WHOIS Privacy","Credit Card,Paypal",,323                     :,3 out of 5 stars,,0                     :0%,2                     :1%,1                     :0%,0                     :0%
OnlyDomains,,TRUE,"DNS,WHOIS Privacy","DNS, URL forwarding, Email account (30 days)","Apple Pay,Credit Card,Google Pay,Paypal","Credit card, paypal, apple pay, google pay",902                     :,1.9 out of 5 stars,,16                     :2%,11                     :1%,10                     :1%,6                     :1%
Crazy Domains,,TRUE,DNS,"DNS, URL forwarding, Email forwarding","Credit Card,Neteller,Paypal","Credit card, paypal, zippay, alipay, webmoney, neteller, dragonpay",485                     :,1.6 out of 5 stars,,4                     :1%,8                     :2%,9                     :2%,1                     :0%
Above.com,940,TRUE,"DNS,WHOIS Privacy","DNS, WHOIS privacy","Bank Transfer,Credit Card,Paypal","Credit card, paypal, wire transfer",338                     :,2 out of 5 stars,,0                     :0%,8                     :2%,3                     :1%,0                     :0%
Hexonet,,TRUE,"DNS,Email Forwarding","DNS, Email forwarding","Alipay,Bank Transfer,Credit Card,Paypal","Credit card, paypal, alipay, wire transfer",840                     :,1.6 out of 5 stars,,16                     :2%,15                     :2%,9                     :1%,5                     :1%
Domain.com,886,TRUE,"DNS,Email Forwarding","DNS, SSL Certificate, Email forwarding","Credit Card,Paypal","Credit card, paypal, checks",439                     :,1.3 out of 5 stars,,17                     :4%,5                     :1%,0                     :0%,0                     :0%
Whois.com,100,FALSE,"DNS,2 Email Accounts,Email Forwarding","DNS, URL forwarding, 2 email accounts (90 days)","Credit Card,Paypal",,550                     :,1.3 out of 5 stars,,16                     :3%,16                     :3%,6                     :1%,25                     :5%
Webnames.ca,456,TRUE,,"DNS, URL forwarding, email forwarding (one free)","Bank Transfer,Credit Card,Check,Money Order","Credit card, check, wire transfer",604                     :,1.3 out of 5 stars,,0                     :0%,0                     :0%,0                     :0%,0                     :0%
Instra,1376,TRUE,DNS,DNS ,"Bank Transfer,Credit Card,Paypal","Credit card, paypal, wire transfer",934                     :,1 out of 5 stars,,10                     :1%,13                     :1%,8                     :1%,7                     :1%
NearlyFreeSpeech,,FALSE,none,none,"Credit Card,Check,Money Order,Paypal","Credit card, paypal, wire transfer, check",63                     :,No reviews yet.,,0                     :0%,0                     :0%,0                     :0%,0                     :0%
BigRock,1495,TRUE,"DNS,2 Email Accounts,Email Forwarding","DNS, URL forwarding, 2 email accounts (90 day free trial)","Bank Transfer,Credit Card,Paypal","Credit card, paypal, wire transfer",435                     :,1 out of 5 stars,,4                     :1%,6                     :1%,5                     :1%,5                     :1%
Amazon Route 53,468,TRUE,"Email Forwarding,WHOIS Privacy",WHOIS Privacy,Credit Card,"Credit card, wire transfer",356                     :,1 out of 5 stars,,2                     :1%,21                     :6%,1                     :0%,0                     :0%
Dotology,637,TRUE,DNS,DNS,"Bitcoin,Credit Card,Paypal","Credit card, paypal, wire transfer",325                     :,1 out of 5 stars,,5                     :2%,17                     :5%,13                     :4%,0                     :0%
Easyspace,79,TRUE,DNS,DNS,Credit Card,Credit card,528                     :,No reviews yet.,,2                     :0%,0                     :0%,25                     :5%,1                     :0%
CanSpace,,FALSE,DNS,"DNS, WHOIS privacy, URL forwarding",Credit Card,Credit card,432                     :,No reviews yet.,,0                     :0%,0                     :0%,2                     :0%,0                     :0%
